d,a,t,a,s
p,r,o,d,u,t,o,s
c,a,t,e,g,o,r,i,a,s
q,u,a,n,t,i,d,a,d,e,s
p,r,e,ç,o, ,s,/, ,i,v,a
2026-01-05,Grão,Mercearia,2 kg,6
2026-02-01,Teclado,Tecnologia,1 und.,12
2026-02-19,monitor,Tecnologia,2 und.,200
2026-04-14,rato,tecnologia,2 und.,20
2026-04-19,desktop,tecnologia,2 und.,1000
2026-05-05,impressora,tecnologia,2 und.,300
20-05-19,café,Mercearia,2 kg,20
2026-06-01,Papel,Consumiveis,2 resmas,20
2026-06-02,Limpa moveis,Produtos de Limpeza,2 Embalagens,12
2026-07-02,Panos deLimpeza,Produtos de Limpeza,2 Embalagens,4
